,feature,importance_energy,xerr_energy,importance_class,xerr_class
9,az_tel,0.0004571247628094812,1.1625550404706575e-05,0.009593251658495849,0.004775238982165333
7,leakage_intensity_width_2,0.017910567345942905,0.0009772791386339185,0.017789067125767697,0.007228183343436511
4,skewness_from_source,0.0028587004636405435,0.00016231413379495192,0.027448610324559315,0.004088681292057603
3,wl,0.0024370103655154468,6.183532122186559e-05,0.03489906852347445,0.005835980175993441
10,alt_tel,0.13943537215048038,0.00039003955992442807,0.03667342167257941,0.01142331780756715
5,kurtosis,0.0023780194034353085,9.042736064893145e-05,0.03865260414114246,0.006814255808054201
0,log_intensity,0.25762933103069,0.0011218505201238392,0.05250185441588046,0.010235042980255064
11,log_reco_energy,,,0.06204540763970672,0.026029747420349535
2,length,0.004837554770849024,0.0002041013513933705,0.06906255737282585,0.017113585270121273
1,width,0.004393715950956277,8.448363334836942e-05,0.07763135277495961,0.019166729557657188
6,time_gradient_from_source,0.29591282739296076,0.0006319668500932274,0.09333332962215284,0.01923461488878624
8,dist,0.057464062077005336,0.0014795199102279166,0.11835904141863732,0.04340193973998244
13,reco_disp_sign_correctness,,,0.13176385453170428,0.0371799639369528
12,reco_disp_norm_diff,,,0.2302465787781138,0.05718262595202625
