,feature,importance_energy,xerr_energy,importance_disp_norm,xerr_disp_norm,importance_disp_sign,xerr_disp_sign,importance_class,xerr_class
16,reco_disp_sign,,,,,,,0.004082262489000925,0.00026806913130427394
10,az_tel,0.0005918929059996061,7.190380898528109e-06,0.001751789303119733,1.7141385863307365e-05,0.006683807120562087,0.0008322534901965412,0.023308668803438334,0.022816791853016962
4,y,0.0031371346380822582,1.837967589424408e-05,,,,,0.023450612904386534,0.000651662587782353
3,x,0.005023107105364152,2.3802967009782674e-05,,,,,0.024642327278860517,0.000666173959505184
9,leakage_intensity_width_2,0.01934803795852152,0.0007329388011648019,0.005786550291088709,5.450526707073464e-05,0.020501180084024673,0.005347751778128696,0.03300423427679182,0.002566894613300739
12,signed_skewness,,,,,,,0.04724744450974188,0.003223873922775904
5,wl,0.0030048842558581053,2.4390710985087694e-05,0.018283757804220934,0.00014304104600087444,0.040919120808395416,0.013607287095331341,0.048403619260211195,0.00901769380551544
14,log_reco_energy,,,,,,,0.05814886509123724,0.01266699880374398
7,kurtosis,0.0036798348145067714,3.8008005145674115e-05,0.011531622846697155,5.115311868301389e-05,0.029647217191939322,0.004089097216846172,0.059555798658345496,0.006137095292866845
11,alt_tel,0.21014404986223634,0.001163161149851957,0.04731103699967209,0.00045509231955878095,0.006741553934019978,0.0018252977561736684,0.07722013648824451,0.028975519240799833
13,signed_time_gradient,,,,,,,0.07875617933209171,0.011064240570454664
2,length,0.03117928672893469,0.01216068382341476,0.22615362189519966,0.0004780549217560033,0.051323897788681454,0.013622040304205342,0.08628646007975077,0.016538760821079277
15,reco_disp_norm,,,,,,,0.0864939683977124,0.023666232534242073
0,log_intensity,0.2524280155789179,0.012889293826553103,0.012547252290354543,5.641772875491524e-05,0.040333132127665317,0.004958275512213766,0.10094659492642806,0.012103520969787656
1,width,0.006191732641914154,8.5269155403227e-05,0.00636584119836983,4.1824775902649135e-05,0.02228172138665277,0.0029152806635243324,0.13080576868022908,0.016912572039791237
6,skewness,0.005481352491061419,9.486911154836958e-05,0.014384521962951294,5.142282267191346e-05,0.08501732910369594,0.006186114645491975,,
8,time_gradient,0.16567302395977965,0.0012046664269207235,0.2441192995259731,0.00020972298580114958,0.2847863345720102,0.017101370310249536,,
